,0
166,8.463547916033683
167,-4.045109173117703
168,-4.618821830114144
169,-10.483268199759626
170,-16.588021174915326
171,-0.18848214207825897
172,1.2262556867780021
173,1.4543187157314954
174,4.396475323876414
175,14.937690797876193
176,14.353814499144733
177,-7.940195773882141
178,-7.981855089390049
179,-11.23625291792274
180,-9.577929305031818
181,-4.781450143797323
182,-6.054024428361459
183,-10.91950558338907
184,-12.225558409774475
185,-3.669987715057724
186,-3.5208353805522217
187,-7.862859477423715
188,-15.521656497125248
189,-5.9884730360240805
190,0.3010319706649484
191,-0.9168134779199761
192,-3.045450895956052
193,-10.425313393972004
194,-21.783242405508325
195,6.7981757354608545
196,7.324837167712111
197,10.245623956916555
198,11.42351562049326
199,5.423293365349309
200,4.852311894873494
201,8.891066075053327
202,13.748485775893187
203,5.869380973182951
204,2.372495665835342
205,5.2219612222059375
206,12.455076682780502
207,14.002945859204852
208,-0.7945641658577492
209,-0.6882393281533624
210,-0.7529260185045247
211,-2.4048135318985757
212,-9.174216037421926
213,-24.03042389403865
214,8.444864587434804
215,8.892238228685262
216,9.209766569377456
217,9.05639769503314
218,7.705739251395295
219,7.730403617023857
220,9.209862506571524
221,9.503788206332004
222,7.533289184692295
223,7.205906423324197
224,9.169460339972986
225,10.203083276667927
226,7.428362163204806
227,6.428406404225797
228,8.827325344728388
229,11.181125716490666
230,7.586289875617458
231,5.3059063981043675
232,7.865422267718126
233,12.174157885838694
234,8.670491776906381
235,3.7468444226557756
236,5.793959635308459
237,11.645744101936913
238,12.734980747138557
239,1.999336160114389
240,2.195307485355705
241,5.85168864506493
242,15.015511211880273
243,10.577525058031366
244,-3.04388844490287
245,-3.0888078131561008
246,-7.218357422412056
247,-17.54735388184268
248,-4.579438101723705
249,3.5371199563665088
250,4.445561976627971
251,10.818109792095676
252,17.05093540224075
253,-1.009056833982331
254,-2.0985187491853594
255,-3.5017191755417705
256,-10.214401154588728
257,-19.806111251841077
258,3.5844273285552006
259,4.968247968138803
260,8.450739298281905
261,15.208034882838335
262,5.457291281306549
263,0.45306749830322113
264,2.1937872301463517
265,6.524650116393506
266,17.97367001185738
267,4.995633523842218
268,-5.220853810491851
269,-6.572986021923219
270,-13.000522129489731
271,-11.22459852234273
272,-0.8176125624421504
273,-1.756853243980253
274,-5.106807523166211
275,-14.548854844865348
276,-12.915848078055308
277,4.588585337749488
278,4.907867461907053
279,10.210067487018108
280,15.898871528928282
281,1.506439966162143
282,-0.21831466286475704
283,0.8200529619017117
284,2.7743370104258993
285,10.094817268383272
286,22.96824099305094
287,-8.018717865326376
288,-8.221274126120342
289,-9.878711547766272
290,-9.954042882360877
291,-6.622753581851221
292,-6.563754504467746
293,-9.665348280754891
294,-11.216074412793706
295,-6.299198030085206
296,-5.231324695449074
297,-8.723048070803726
298,-12.94020077437139
299,-6.772309165912015
300,-3.250702113979843
301,-6.139341596812132
302,-12.923385199769147
303,-11.584785136653148
304,-0.6234036567812953
305,-1.4419902926535706
306,-4.371207290688331
307,-13.059509867605705
308,-16.3663153653414
309,5.029099089385246
310,5.30057497547442
311,10.097902205766946
312,15.081039585147611
313,2.6202643838468047
314,0.8006727666946775
315,2.9253178861267055
316,8.75936947679698
317,20.03918907200471
318,-1.6403876256658614
319,-4.9738263608206275
320,-7.687475040710278
321,-14.631844697792879
322,-7.499035316774805
323,-0.44758156424138534
324,-2.0131649169448464
325,-5.924655454129709
326,-16.71496701686681
327,-8.116338909977344
328,5.0811054453959725
329,5.96739032816769
330,12.14055895096453
331,13.085641755910563
332,0.8077397526199142
333,1.09241901406091
334,3.546348573567378
335,10.872324405677686
336,19.660715298852136
337,-4.578795177912728
338,-5.408167053538414
339,-9.300112916845496
340,-14.804082879788687
341,-4.34984636064311
342,-1.2330533887786912
343,-3.6309980886034303
344,-10.113747853291645
345,-18.64100165719154
346,1.8112538937482658
347,3.5051680941847687
348,6.042169282939577
349,14.535604325846384
350,10.906553323912895
351,-2.1769451194627467
352,-1.9161031813486102
353,-4.354259406975299
354,-13.280279611947638
355,-16.40088975483966
356,5.653685448180524
357,5.910176737572163
358,10.750933699332188
359,13.797608775781532
360,2.7249783738550697
361,1.9161985776156016
362,5.128625677318021
363,13.508034365380905
364,13.77571188928553
365,-2.8947113886920923
366,-2.9092330798238035
367,-6.293976598594112
368,-16.180851527531203
369,-8.274221043752117
370,3.6287581005707223
371,4.074150095973666
372,9.579815908629037
373,17.675356384047024
374,0.434361592450187
375,-2.130579839458036
376,-3.049772465374023
377,-8.71151043030377
378,-20.036243113711112
379,1.5556093100873547
380,4.989826966821726
381,7.677416168589779
382,14.599673456220772
383,7.551928535375184
384,0.4737443494906658
385,2.04619807022273
386,6.003164817315583
387,16.81381055271102
388,7.810062741487659
389,-5.0046599807655925
390,-5.91660527358801
391,-12.148843140611154
392,-13.189836515281494
393,-0.6909885937306413
394,-0.9494314406083869
395,-3.2189351911800435
396,-10.037582194540658
397,-20.517543002378396
398,4.309367273674874
399,5.687099287760214
400,9.21289422835037
401,14.326153742504752
402,4.9866030417725185
403,1.7661236914683613
404,4.458821072392297
405,11.586807454250653
406,16.353494956077718
407,-1.6885396837461024
408,-2.2173267730694683
409,-4.068000957997126
410,-11.776923853923522
411,-18.099006360199336
412,4.291102329560742
413,4.788612003296322
414,8.926924416634897
415,15.77887149316978
416,3.9499561998632737
417,0.030826053081490147
418,1.4776184451197565
