,0
483,54006.54
484,54286.01
485,53945.867
486,52854.49
487,52584.6
488,52493.273
489,52683.67
490,52937.65
491,53225.676
492,53639.21
493,53751.88
494,53824.8
495,53843.492
496,53534.496
497,53282.418
498,53417.215
499,53187.992
500,52956.082
501,52851.62
502,52789.234
503,53065.863
504,53292.156
505,53702.055
506,54286.87
507,54594.746
508,54874.82
509,54939.0
510,54766.69
511,54403.42
512,54886.816
513,55275.137
514,55430.824
515,55393.582
516,55085.547
517,54027.543
518,52314.895
519,51960.117
520,52605.38
521,52945.69
522,53120.49
523,52307.863
524,52198.84
525,52354.676
526,53177.043
527,53561.293
528,54105.95
529,54700.906
530,55056.074
531,55340.695
532,55523.52
533,55388.34
534,55323.484
535,55074.324
536,54868.152
537,54739.73
538,54702.555
539,54611.84
540,54355.188
541,54157.902
542,54153.0
543,54169.348
544,54305.92
545,54272.6
546,54368.375
547,54414.438
548,54507.418
549,54424.695
550,54228.46
551,53397.316
552,52352.91
553,52424.316
554,52703.645
555,52742.5
556,52797.47
557,53340.668
558,54087.2
559,54350.797
560,54539.633
561,54317.19
562,53958.555
563,53246.55
564,52648.46
565,52511.355
566,52480.715
567,52412.777
568,52335.14
569,52387.75
570,52823.348
571,53011.812
572,53304.36
573,53272.332
574,53130.75
575,53260.996
576,53078.28
577,53336.812
578,53873.895
579,54348.324
580,54524.668
581,54555.25
582,54567.305
583,54517.293
584,54897.94
585,55214.52
586,55599.613
587,55945.6
588,56341.062
589,56412.8
590,56529.36
591,56508.81
592,56441.93
593,56278.12
594,56210.492
595,56122.344
596,55899.992
597,55674.438
598,55569.684
599,55564.336
600,55596.316
601,55680.457
602,55825.234
603,56070.395
604,56083.836
605,55982.07
606,56120.984
607,56236.055
608,56398.312
609,56514.406
610,56698.715
611,56830.145
612,57035.312
613,57086.17
614,57130.227
615,57003.5
616,56802.48
617,56551.51
618,56497.348
619,56454.453
620,56454.258
621,56400.914
622,56464.05
623,56413.574
624,56311.25
625,56239.633
626,56318.414
627,56402.14
628,56508.88
629,56577.438
630,56801.242
631,56832.473
632,56863.652
633,56653.848
634,56463.82
635,56240.71
636,56260.176
637,56116.42
638,56243.008
639,56388.445
640,56367.555
641,56238.92
642,56110.63
643,55770.375
644,55459.465
645,55246.09
646,55194.902
647,55247.105
648,55208.188
649,55225.715
650,55258.195
651,55349.85
652,55434.94
653,55505.418
654,55643.51
655,55671.77
656,55681.195
657,55663.23
658,55797.242
659,55751.92
660,55639.13
661,55273.71
662,55062.95
663,55158.086
664,55207.04
665,55142.242
666,54821.71
667,54250.383
668,54231.83
669,54345.688
670,54559.55
671,54803.69
672,54843.617
673,54825.37
674,54876.855
675,54560.438
676,54160.113
677,53584.426
678,52914.965
679,52038.617
680,51806.35
681,51866.48
682,52303.105
683,53082.78
684,53171.92
685,52948.95
686,53074.71
687,53017.773
688,52883.832
689,52700.09
690,52771.316
691,52822.645
692,52941.023
693,53085.4
